Datetime,Open,High,Low,Close,Volume
2021-10-18 09:30:00-04:00,202.82000732421875,203.30999755859375,201.8300018310547,203.30499267578125,61443
2021-10-18 10:00:00-04:00,203.39999389648438,204.5198974609375,203.08999633789062,204.36000061035156,53921
2021-10-18 10:30:00-04:00,204.31419372558594,204.4199981689453,203.07000732421875,203.36000061035156,55989
2021-10-18 11:00:00-04:00,203.3000030517578,203.5800018310547,203.11309814453125,203.4199981689453,42898
2021-10-18 11:30:00-04:00,203.3800048828125,203.94000244140625,203.32310485839844,203.7100067138672,22947
2021-10-18 12:00:00-04:00,203.6300048828125,203.77999877929688,203.19000244140625,203.49000549316406,25923
2021-10-18 12:30:00-04:00,203.4550018310547,203.8300018310547,203.3800048828125,203.47000122070312,20102
2021-10-18 13:00:00-04:00,203.47000122070312,203.58999633789062,203.33999633789062,203.33999633789062,26570
2021-10-18 13:30:00-04:00,203.339599609375,203.33999633789062,202.82000732421875,202.97000122070312,35302
2021-10-18 14:00:00-04:00,202.91000366210938,203.22999572753906,202.8350067138672,203.1999969482422,31635
2021-10-18 14:30:00-04:00,203.14999389648438,203.60989379882812,203.11000061035156,203.60989379882812,32753
2021-10-18 15:00:00-04:00,203.5,203.58999633789062,203.3300018310547,203.5500030517578,41535
2021-10-18 15:30:00-04:00,203.50999450683594,203.6999969482422,203.32000732421875,203.4600067138672,160784
2021-10-19 09:30:00-04:00,204.00999450683594,205.37899780273438,204.0,204.38999938964844,94008
2021-10-19 10:00:00-04:00,204.38999938964844,205.55999755859375,204.27000427246094,205.4949951171875,82501
2021-10-19 10:30:00-04:00,205.57000732421875,206.25,205.4600067138672,206.16000366210938,71099
2021-10-19 11:00:00-04:00,206.1699981689453,207.05499267578125,206.00999450683594,206.78700256347656,53961
2021-10-19 11:30:00-04:00,206.77000427246094,207.00999450683594,206.44000244140625,206.4550018310547,42500
2021-10-19 12:00:00-04:00,206.4499969482422,206.77999877929688,206.38999938964844,206.77999877929688,42680
2021-10-19 12:30:00-04:00,206.77000427246094,207.1699981689453,206.7100067138672,207.13999938964844,45595
2021-10-19 13:00:00-04:00,207.11500549316406,207.6699981689453,207.09500122070312,207.5399932861328,50049
